Unit 0, Course Overview, `PPT <http://bigdataopensourceprojects.soic.indiana.edu/downloads/Unit_0.pptx>`_, TBD
Unit.Cloud.4, Hybrid Clouds, `Cloudmesh <https://mix.office.com/watch/1c7rd1l9i4c8o>`_,
Unit.DevOps.1.3, Ansible, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/ansible.html#ref-class-lesson-devops-ansible>`_,
Unit.Devops.2.1, SaltStack, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/saltstack.html#ref-class-lesson-devops-saltstack>`_, 
Unit.DevOps.2.2, SaltSalt, `Web Page page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/saltstack.html#ref-class-lesson-devops-saltstack-exercises>`_, 
Unit.DevOps.2.1, Puppet, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/puppet.html#ref-class-lesson-devops-puppet>`_, 
Unit.DevOps.2.2, Puppet, `Chef <https://mix.office.com/watch/1g90jbv8llv0j>`_, 0:35:00
Unit.DevOps.2.3, Puppet, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/chef.html#ref-class-lesson-devops-chef>`_, 
Unit.DevOps.4.1, OpenStack Heat, `Video <https://mix.office.com/watch/1ry7jrkuvkfwh>`_, 0:20:00
Unit.DevOps.4.2, OpenSrack Heat, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/openstack_heat.html#ref-class-lesson-devops-openstack-heat>`_, 
Unit.Devops.4.3, H4-2: Heat, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/openstack_heat.html#ref-class-lesson-devops-openstack-heat-exercises>`_, 
Unit.DevOps.5.1, Ubuntu Juju, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/juju.html#ref -class -lesson -devops -juju>`_, 
Unit.DevOps.5.2, Ubuntu Juju, `H: Juju  <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/devops/juju.html#ref -class -lesson -devops -juju -exercises>`_, 
Hadoop.1, Hadoop, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/vc_sp15/hadoop_cluster_manual.html#ref-class-lesson-deploying-hadoop-cluster-manual>`_, 
Hadoop.2, Hadoop, `ext H: Hadoop <http://cloudmesh.github.io/introduction_to_cloud_computing/class/vc_sp15/hadoop_cluster_manual.html#ref-class-lesson-deploying-hadoop-cluster-manuale-exercise>`_  , 
Hadoop.3, Hadoop Word Count, `Video <https://mix.office.com/watch/1on4q8t1vcjfh>`_,   0:33:00
Hadoop.4, Hadoop Word Count, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/cluster/wordcount.html#ref-class-lesson-hadoop-word-count>`_  , 
Mongo.1, Mongo, `Deploying MongoDB Sharded Cluster  <https://mix.office.com/watch/1rx90yz48fqpn>`_,  0:04:00
Mongo.2, Mongo, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/vc_sp15/mongodb_cluster.html#ref-class-lesson-mongodb-sharded-cluster>`_, 
VirtualClusters.1, Introduction and Overview, `Video <https://mix.office.com/watch/eap9zdqfifgp>`_,   0:04:00   
VirtualClusters.2, Dynamic Deployment of Arbitrary X Software on Virtual Cluster,  `Video <https://mix.office.com/watch/zukoz9wswe7z>`_,   0:04:00
VirtualCluster.3.1, Apache Hadoop YARN, `Video <https://mix.office.com/watch/1eopy3tfq6kim>`_,   0:34:00
VirtualCluster.3.2, Apache Hadoop YARN, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/cluster/yarn.html#ref-class-lesson-hadoop-yarn>`_,   
VirtualCluster.3.3, Apache Zookeeper, `Apache ZooKeeper <https://mix.office.com/watch/1ptxm2uj2s7y3>`_,   0:40:00
VirtualCluster.3.4, Apache Zookeeper, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/cluster/zookeeper.html#ref-class-lesson-zookeeper>`_, 
VirtualCluster.4, Open MPI Virtual Cluster,  `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/openmpi.html#ref-class-lesson-openmpi-with-cloudmesh>`_,
Cluster.1, HPC Queuing System, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/hpc/hpc.html#s-hpc>`_,  0:08:00
Docker.1, Docker Basics, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/docker.html#ref-class-lesson-docker>`_ , 
VM.1, VM Software - Vagrant, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/virtualization/tools.html#ref-virtualization-tools>`_, 
Hadoop.x, Hadoop MRv2, `Web page <http://cloudmesh.github.io/introduction_to_cloud_computing/class/lesson/cluster/hadoop2.html#ref-class-lesson-hadoop2>`_ ,
